"","Any","zona","dat","via","pk","nomMun","nomCom","nomDem","F_MORTS","F_FERITS_GREUS","F_FERITS_LLEUS","F_VICTIMES","F_UNITATS_IMPLICADES","F_VIANANTS_IMPLICADES","F_BICICLETES_IMPLICADES","F_CICLOMOTORS_IMPLICADES","F_MOTOCICLETES_IMPLICADES","F_VEH_LLEUGERS_IMPLICADES","F_VEH_PESANTS_IMPLICADES","F_ALTRES_UNIT_IMPLICADES","F_UNIT_DESC_IMPLICADES","C_VELOCITAT_VIA","D_ACC_AMB_FUGA","D_BOIRA","D_CARACT_ENTORN","D_CARRIL_ESPECIAL","D_CIRCULACIO_MESURES_ESP","D_CLIMATOLOGIA","D_FUNC_ESP_VIA","D_GRAVETAT","D_INFLUIT_BOIRA","D_INFLUIT_CARACT_ENTORN","D_INFLUIT_CIRCULACIO","D_INFLUIT_ESTAT_CLIMA","D_INFLUIT_INTEN_VENT","D_INFLUIT_LLUMINOSITAT","D_INFLUIT_MESU_ESP","D_INFLUIT_OBJ_CALCADA","D_INFLUIT_SOLCS_RASES","D_INFLUIT_VISIBILITAT","D_INTER_SECCIO","D_LIMIT_VELOCITAT","D_LLUMINOSITAT","D_REGULACIO_PRIORITAT","D_SENTITS_VIA","D_SUBTIPUS_ACCIDENT","D_SUBTIPUS_TRAM","D_SUBZONA","D_SUPERFICIE","D_TIPUS_VIA","D_TITULARITAT_VIA","D_TRACAT_ALTIMETRIC","D_VENT","grupDiaLab","hor","grupHor","tipAcc","tipDia"
"20000",2021,"Carretera","09/08/2021","N-260",238.9,"RIBERA D'URGELLET","Alt Urgell","Lleida",0,1,0,1,2,0,0,0,1,1,0,0,0,100,"No","No n'hi ha","Mixt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar",NA,"Doble sentit","Caiguda en la via",NA,"Carretera","Sec i net","Carretera convencional","Estatal","Rampa o pendent","Calma, vent molt suau","Feiners",9.57,"Matí","Bolcada a la calcada","dill-dij"
"20001",2021,"Zona urbana","14/10/2021","SE",999999,"BARCELONA","Barcelones","Barcelona",0,1,0,1,2,0,0,0,1,0,1,0,0,100,"No","Si","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar",NA,"Un sol sentit","Fregament o col·lisió lateral",NA,"Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,NA,"Calma, vent molt suau","Feiners",9,"Matí","Col.lisió de vehicles en marxa","dill-dij"
"20002",2021,"Carretera","26/10/2021","BV-5151",6.5,"FRANQUESES DEL VALLE","Valles Oriental","Barcelona",0,2,1,3,3,0,0,1,0,0,2,0,0,100,"No","No n'hi ha","Mixt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar",NA,"Doble sentit","Col·lisió frontal",NA,"Carretera","Sec i net","Carretera convencional","Provincial","Pla","Calma, vent molt suau","Feiners",16.5,"Tarda","Col.lisió de vehicles en marxa","dill-dij"
"20003",2021,"Carretera","04/09/2021","N-340",1157,"TARRAGONA","Tarragones","Tarragona",0,1,1,2,2,0,0,0,0,2,0,0,0,50,"No","No n'hi ha","Mixt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Senyal velocitat","De dia, dia clar",NA,"Doble sentit","Fregament o col·lisió lateral",NA,"Carretera","Sec i net","Carretera convencional","Estatal","Pla","Calma, vent molt suau","CapDeSetmana",19.41,"Tarda","Col.lisió de vehicles en marxa","dis"
"20004",2021,"Carretera","09/10/2021","CR",0,"FORALLAC","Baix Emporda","Girona",0,1,1,2,3,0,2,0,0,0,0,1,0,100,"No","No n'hi ha","Desmunt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar",NA,"Doble sentit","Col·lisió frontal",NA,"Carretera","Mullat","Altres","Altres","Rampa o pendent","Calma, vent molt suau","CapDeSetmana",11.59,"Matí","Col.lisió de vehicles en marxa","dis"
"20005",2021,"Zona urbana","04/11/2021","SE",999999,"TARRAGONA","Tarragones","Tarragona",0,1,0,1,2,1,0,0,0,1,0,0,0,100,"No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar",NA,NA,"Atropellament",NA,"Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,NA,"Calma, vent molt suau","Feiners",9.25,"Matí","Atropellament","dill-dij"
"20006",2021,"Zona urbana","18/01/2021","SE",999999,"CERDANYOLA DEL VALLES","Valles Occidental","Barcelona",0,1,0,1,2,0,0,0,1,1,0,0,0,40,"No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","Sense especificar","Dintre intersecció","Senyal velocitat","De nit, il·luminació artificial suficient","Sols marques viàries (inclou pas vianants)","Doble sentit","Envestida (frontal lateral)","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","Municipal","Sense especificar","Calma, vent molt suau","Feiners",21.01,"Tarda","Col.lisió de vehicles en marxa","dill-dij"
"20007",2021,"Zona urbana","01/07/2021","SE",999999,"BADALONA","Barcelones","Barcelona",0,1,0,1,2,0,0,0,1,1,0,0,0,NA,"No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","Sense especificar","Dintre intersecció","Genérica via","De nit, il·luminació artificial suficient","Semàfor","Doble sentit","Envestida (frontal lateral)","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","Municipal","Sense especificar","Calma, vent molt suau","Feiners",22.44,"Nit","Col.lisió de vehicles en marxa","dill-dij"
"20008",2021,"Zona urbana","07/01/2021","SE",999999,"REUS","Baix Camp","Tarragona",0,1,0,1,2,0,0,1,0,1,0,0,0,100,"No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar",NA,NA,"Envestida (frontal lateral)",NA,"Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,NA,"Calma, vent molt suau","Feiners",20.5,"Tarda","Col.lisió de vehicles en marxa","dill-dij"
"20009",2021,"Zona urbana","16/02/2021","SE",999999,"TERRASSA","Valles Occidental","Barcelona",0,1,0,1,1,0,0,0,0,0,0,1,0,NA,"No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","Sense especificar","No","No","No","No","No","No","No","No","En secció","Genérica via","De nit, il·luminació artificial suficient",NA,"Sense especificar","Xoc contra objecte/obstacle sense sortida prèvia de via",NA,"Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)",NA,"Sense especificar","Calma, vent molt suau","Feiners",21.5,"Tarda","Col.lisió d'un vehicle contra un obstacle de la calcada","dill-dij"
